"Date","Visitors"
"1985-05",75.7
"1985-06",75.4
"1985-07",83.1
"1985-08",82.9
"1985-09",77.3
"1985-10",105.7
"1985-11",121.9
"1985-12",150
"1986-01",98
"1986-02",118
"1986-03",129.5
"1986-04",110.6
"1986-05",91.7
"1986-06",94.8
"1986-07",109.5
"1986-08",105.1
"1986-09",95
"1986-10",130.3
"1986-11",156.7
"1986-12",190.1
"1987-01",139.7
"1987-02",147.8
"1987-03",145.2
"1987-04",132.7
"1987-05",120.7
"1987-06",116.5
"1987-07",142
"1987-08",140.4
"1987-09",128
"1987-10",165.7
"1987-11",183.1
"1987-12",222.8
"1988-01",161.3
"1988-02",180.4
"1988-03",185.2
"1988-04",160.5
"1988-05",157.1
"1988-06",163.8
"1988-07",203.3
"1988-08",196.9
"1988-09",179.6
"1988-10",207.3
"1988-11",208
"1988-12",245.8
"1989-01",168.9
"1989-02",191.1
"1989-03",180
"1989-04",160.1
"1989-05",136.6
"1989-06",142.7
"1989-07",175.4
"1989-08",161.4
"1989-09",149.9
"1989-10",174.1
"1989-11",192.7
"1989-12",247.4
"1990-01",176.2
"1990-02",192.8
"1990-03",189.1
"1990-04",181.1
"1990-05",149.9
"1990-06",157.3
"1990-07",185.3
"1990-08",178.2
"1990-09",162.7
"1990-10",190.6
"1990-11",198.6
"1990-12",253.1
"1991-01",177.4
"1991-02",190.6
"1991-03",189.2
"1991-04",168
"1991-05",161.4
"1991-06",172.2
"1991-07",208.3
"1991-08",199.3
"1991-09",197.4
"1991-10",216
"1991-11",223.9
"1991-12",266.8
"1992-01",196.1
"1992-02",238.2
"1992-03",217.8
"1992-04",203.8
"1992-05",175.2
"1992-06",176.9
"1992-07",219.3
"1992-08",199.1
"1992-09",190
"1992-10",229.3
"1992-11",255
"1992-12",302.4
"1993-01",242.8
"1993-02",245.5
"1993-03",257.9
"1993-04",226.3
"1993-05",213.4
"1993-06",204.6
"1993-07",244.6
"1993-08",239.9
"1993-09",224
"1993-10",267.2
"1993-11",285.9
"1993-12",344
"1994-01",250.5
"1994-02",304.3
"1994-03",307.4
"1994-04",255.1
"1994-05",214.9
"1994-06",230.9
"1994-07",282.5
"1994-08",265.4
"1994-09",254
"1994-10",301.6
"1994-11",311
"1994-12",384
"1995-01",303.8
"1995-02",319.1
"1995-03",313.5
"1995-04",294.2
"1995-05",244.8
"1995-06",261.4
"1995-07",329.7
"1995-08",304.9
"1995-09",268.6
"1995-10",320.7
"1995-11",342.9
"1995-12",422.3
"1996-01",317.2
"1996-02",392.7
"1996-03",365.6
"1996-04",333.2
"1996-05",261.5
"1996-06",306.9
"1996-07",358.2
"1996-08",329.2
"1996-09",309.2
"1996-10",350.4
"1996-11",375.6
"1996-12",465.2
"1997-01",342.9
"1997-02",408
"1997-03",390.9
"1997-04",325.9
"1997-05",289.1
"1997-06",308.2
"1997-07",397.4
"1997-08",330.4
"1997-09",330.9
"1997-10",366.5
"1997-11",379.5
"1997-12",448.3
"1998-01",346.2
"1998-02",353.6
"1998-03",338.6
"1998-04",341.1
"1998-05",283.4
"1998-06",304.2
"1998-07",372.3
"1998-08",323.7
"1998-09",323.9
"1998-10",354.8
"1998-11",367.9
"1998-12",457.6
"1999-01",351
"1999-02",398.6
"1999-03",389
"1999-04",334.1
"1999-05",298.1
"1999-06",317.1
"1999-07",388.5
"1999-08",355.6
"1999-09",353.1
"1999-10",397
"1999-11",416.7
"1999-12",460.8
"2000-01",360.8
"2000-02",434.6
"2000-03",411.9
"2000-04",405.6
"2000-05",319.3
"2000-06",347.9
"2000-07",429
"2000-08",372.9
"2000-09",403
"2000-10",426.5
"2000-11",459.9
"2000-12",559.9
"2001-01",416.6
"2001-02",429.2
"2001-03",428.7
"2001-04",405.4
"2001-05",330.2
"2001-06",370
"2001-07",446.9
"2001-08",384.6
"2001-09",366.3
"2001-10",378.5
"2001-11",376.2
"2001-12",523.2
"2002-01",379.3
"2002-02",437.2
"2002-03",446.5
"2002-04",360.3
"2002-05",329.9
"2002-06",339.4
"2002-07",418.2
"2002-08",371.9
"2002-09",358.6
"2002-10",428.9
"2002-11",437
"2002-12",534
"2003-01",396.6
"2003-02",427.5
"2003-03",392.5
"2003-04",321.5
"2003-05",260.9
"2003-06",308.3
"2003-07",415.5
"2003-08",362.2
"2003-09",385.6
"2003-10",435.3
"2003-11",473.3
"2003-12",566.6
"2004-01",420.2
"2004-02",454.8
"2004-03",432.3
"2004-04",402.8
"2004-05",341.3
"2004-06",367.3
"2004-07",472
"2004-08",405.8
"2004-09",395.6
"2004-10",449.9
"2004-11",479.9
"2004-12",593.1
"2005-01",462.4
"2005-02",501.6
"2005-03",504.7
"2005-04",409.5
