"fechas","Value"
2005-01-01,42.2056638559382
2005-04-01,24.6491713296294
2005-07-01,32.6673351386246
2005-10-01,37.2573540134764
2006-01-01,45.2424602720635
2006-04-01,29.3504812742718
2006-07-01,36.3442072775119
2006-10-01,41.7820813647366
2007-01-01,49.2765984345619
2007-04-01,31.2754013898459
2007-07-01,37.8506254947152
2007-10-01,38.83704413019
2008-01-01,51.236900336137
2008-04-01,31.8385516171558
2008-07-01,41.3234212576972
2008-10-01,42.7990033724349
2009-01-01,55.708358364385
2009-04-01,33.4071449171312
2009-07-01,42.3166379718116
2009-10-01,45.1571225674731
2010-01-01,59.5760799633937
2010-04-01,34.8373301595328
2010-07-01,44.8416807241332
2010-10-01,46.971249602779
2011-01-01,60.0190309438716
2011-04-01,38.3711785132276
2011-07-01,46.9758641283558
2011-10-01,50.7337964560878
2012-01-01,61.6468731860574
2012-04-01,39.2995693656296
2012-07-01,52.6712090814052
2012-10-01,54.3323168946667
2013-01-01,66.834358381339
2013-04-01,40.8711884667851
2013-07-01,51.8285357927739
2013-10-01,57.4919099342262
2014-01-01,65.2514698518726
2014-04-01,43.0612082202828
2014-07-01,54.7607571288007
2014-10-01,59.8344749355003
2015-01-01,73.2570274672009
2015-04-01,47.6966237298
2015-07-01,61.0977680206996
2015-10-01,66.0557612187001
